Sources,Value,Year,Units
Coal,5993424,2000, GWh
Coal,6012393,2001, GWh
Coal,6292684,2002, GWh
Coal,6712682,2003, GWh
Coal,6941825,2004, GWh
Coal,7322861,2005, GWh
Coal,7733847,2006, GWh
Coal,8193527,2007, GWh
Coal,8251113,2008, GWh
Coal,8102913,2009, GWh
Coal,8674603,2010, GWh
Coal,9158318,2011, GWh
Coal,9197559,2012, GWh
Coal,9632489,2013, GWh
Coal,9819230,2014, GWh
Coal,9534657,2015, GWh
Coal,9580205,2016, GWh
Coal,9949942,2017, GWh
Coal,10161011,2018, GWh
Coal,9939858,2019, GWh
Coal,9463918,2020, GWh
Coal,10250902,2021, GWh
Coal,10450280,2022, GWh
Oil,1187320,2000, GWh
Oil,1139055,2001, GWh
Oil,1137325,2002, GWh
Oil,1145634,2003, GWh
Oil,1142216,2004, GWh
Oil,1127193,2005, GWh
Oil,1042279,2006, GWh
Oil,1075870,2007, GWh
Oil,1033888,2008, GWh
Oil,962207,2009, GWh
Oil,967917,2010, GWh
Oil,1057438,2011, GWh
Oil,1137855,2012, GWh
Oil,1089726,2013, GWh
Oil,1068326,2014, GWh
Oil,1034737,2015, GWh
Oil,940468,2016, GWh
Oil,847640,2017, GWh
Oil,780225,2018, GWh
Oil,757395,2019, GWh
Oil,709591,2020, GWh
Oil,785191,2021, GWh
Oil,800671,2022, GWh
Natural gas,2764964,2000, GWh
Natural gas,2909570,2001, GWh
Natural gas,3112434,2002, GWh
Natural gas,3270903,2003, GWh
Natural gas,3504772,2004, GWh
Natural gas,3692462,2005, GWh
Natural gas,3912484,2006, GWh
Natural gas,4199730,2007, GWh
Natural gas,4359073,2008, GWh
Natural gas,4405224,2009, GWh
Natural gas,4819927,2010, GWh
Natural gas,4920495,2011, GWh
Natural gas,5125663,2012, GWh
Natural gas,5070077,2013, GWh
Natural gas,5175075,2014, GWh
Natural gas,5552602,2015, GWh
Natural gas,5856418,2016, GWh
Natural gas,5925538,2017, GWh
Natural gas,6192757,2018, GWh
Natural gas,6339901,2019, GWh
Natural gas,6358752,2020, GWh
Natural gas,6564415,2021, GWh
Natural gas,6521730,2022, GWh
Nuclear,2590624,2000, GWh
Nuclear,2637685,2001, GWh
Nuclear,2660778,2002, GWh
Nuclear,2635351,2003, GWh
Nuclear,2738012,2004, GWh
Nuclear,2767951,2005, GWh
Nuclear,2791471,2006, GWh
Nuclear,2719229,2007, GWh
Nuclear,2733084,2008, GWh
Nuclear,2696181,2009, GWh
Nuclear,2756288,2010, GWh
Nuclear,2582639,2011, GWh
Nuclear,2460285,2012, GWh
Nuclear,2479105,2013, GWh
Nuclear,2535404,2014, GWh
Nuclear,2570070,2015, GWh
Nuclear,2608401,2016, GWh
Nuclear,2636117,2017, GWh
Nuclear,2709096,2018, GWh
Nuclear,2790111,2019, GWh
Nuclear,2676449,2020, GWh
Nuclear,2813208,2021, GWh
Nuclear,2685464,2022, GWh
Hydro,2702916,2000, GWh
Hydro,2647111,2001, GWh
Hydro,2719778,2002, GWh
Hydro,2733510,2003, GWh
Hydro,2901523,2004, GWh
Hydro,3026888,2005, GWh
Hydro,3133089,2006, GWh
Hydro,3174320,2007, GWh
Hydro,3294726,2008, GWh
Hydro,3348005,2009, GWh
