Country,Electricity Consumption (MWh),World Share,Yearly KWh Per Capita
China,"5,563,928,540",25.50%,"3,963"
United States,"3,902,306,027",17.90%,"11,855"
India,"1,136,513,420",5.20%,846
Japan,"943,682,520",4.30%,"7,421"
Russia,"909,571,060",4.20%,"6,239"
Germany,"536,507,840",2.50%,"6,483"
Canada,"522,151,710",2.40%,"14,363"
Brazil,"509,078,980",2.30%,"2,505"
South Korea,"507,555,100",2.30%,"9,894"
France,"450,832,740",2.10%,"6,927"
United Kingdom,"309,186,080",1.40%,"4,692"
Saudi Arabia,"296,184,520",1.40%,"9,642"
Italy,"293,469,080",1.30%,"4,852"
Mexico,"258,666,440",1.20%,"2,116"
Spain,"239,536,360",1.10%,"5,126"
Taiwan,"237,403,060",1.10%,"10,065"
Iran,"236,307,500",1.10%,"2,819"
Turkey,"231,146,440",1.10%,"2,831"
Australia,"229,440,100",1.10%,"9,430"
Indonesia,"213,400,340",1.00%,806
South Africa,"207,120,980",1.00%,"3,617"
Thailand,"187,734,000",0.90%,"2,649"
Egypt,"159,745,540",0.70%,"1,572"
Poland,"149,422,040",0.70%,"3,905"
Vietnam,"143,151,980",0.70%,"1,523"
Malaysia,"136,859,740",0.60%,"4,305"
Sweden,"133,527,680",0.60%,"13,456"
Ukraine,"133,173,460",0.60%,"2,919"
Norway,"122,159,440",0.60%,"23,331"
Argentina,"121,000,280",0.60%,"2,756"
United Arab Emirates,"113,177,600",0.50%,"12,532"
Netherlands,"108,772,560",0.50%,"6,322"
Kazakhstan,"94,229,480",0.43%,"5,131"
Pakistan,"92,325,500",0.42%,419
Finland,"82,788,180",0.38%,"15,065"
Belgium,"82,164,110",0.38%,"7,250"
Philippines,"78,300,920",0.36%,734
Chile,"73,215,660",0.34%,"4,008"
Venezuela,"71,958,360",0.33%,"2,339"
Colombia,"68,252,740",0.31%,"1,439"
Austria,"64,604,100",0.30%,"7,394"
Czech Republic (Czechia),"62,339,420",0.29%,"5,919"
Switzerland,"58,464,580",0.27%,"6,981"
Kuwait,"57,784,480",0.27%,"14,432"
Greece,"56,886,040",0.26%,"5,279"
Algeria,"55,959,220",0.26%,"1,370"
Israel,"55,004,920",0.25%,"6,700"
Bangladesh,"53,647,540",0.25%,334
Romania,"49,642,600",0.23%,"2,510"
Uzbekistan,"49,072,660",0.23%,"1,569"
Singapore,"47,687,660",0.22%,"8,549"
Portugal,"46,935,280",0.22%,"4,536"
Peru,"44,612,920",0.21%,"1,445"
Hong Kong,"41,842,760",0.19%,"5,648"
New Zealand,"39,496,640",0.18%,"8,377"
Hungary,"39,370,000",0.18%,"4,013"
Iraq,"38,460,460",0.18%,"1,000"
Qatar,"37,244,580",0.17%,"14,328"
Denmark,"33,017,760",0.15%,"5,764"
Bulgaria,"32,340,350",0.15%,"4,537"
Belarus,"31,721,300",0.15%,"3,339"
Serbia,"29,810,300",0.14%,"4,183"
Oman,"28,915,400",0.13%,"6,585"
Morocco,"28,250,440",0.13%,807
Libya,"27,296,680",0.13%,"4,116"
Slovakia,"26,635,280",0.12%,"4,908"
Bahrain,"26,105,400",0.12%,"18,261"
Ireland,"25,678,540",0.12%,"5,402"
Nigeria,"24,716,340",0.11%,126
Ecuador,"22,684,920",0.10%,"1,374"
Azerbaijan,"20,235,280",0.09%,"2,051"
Puerto Rico,"19,484,430",0.09%,"5,605"
Iceland,"17,682,820",0.08%,"52,694"
Jordan,"16,818,820",0.08%,"1,681"
Cuba,"16,162,120",0.07%,"1,435"
