Country,Kilowatt-hours
Iceland,"53,832.48"
Norway,"22,999.93"
Bahrain,"19,969.74"
Qatar,"16,415.25"
Canada,"15,588.49"
Kuwait,"15,297.81"
Finland,"15,249.99"
Luxembourg,"13,914.68"
Sweden,"13,480.15"
United States of America,"12,993.97"
United Arab Emirates,"11,562.99"
South Korea,"10,496.51"
Brunei,"10,121.06"
Australia,"10,071.40"
Saudi Arabia,"9,047.69"
New Zealand,"9,012.73"
Singapore,"8,844.69"
Austria,"8,355.84"
Japan,"7,819.71"
Belgium,"7,709.12"
Switzerland,"7,520.17"
Germany,"7,035.48"
France,"6,939.94"
Estonia,"6,732.37"
Slovenia,"6,728.00"
Netherlands,"6,712.77"
Trinidad and Tobago,"6,661.10"
Russia,"6,602.66"
Israel,"6,600.90"
Oman,"6,474.50"
Czech Republic,"6,258.89"
Hong Kong,"6,083.27"
Gibraltar,"5,916.43"
Denmark,"5,858.80"
Ireland,"5,672.06"
Kazakhstan,"5,600.21"
Spain,"5,355.99"
Slovakia,"5,137.07"
United Kingdom,"5,130.39"
Greece,"5,062.61"
Italy,"5,002.41"
Malta,"4,924.54"
Curaçao,"4,797.67"
Bulgaria,"4,708.93"
Portugal,"4,662.60"
Montenegro,"4,612.34"
Malaysia,"4,539.50"
Serbia,"4,271.74"
South Africa,"4,183.83"
Poland,"3,971.80"
Hungary,"3,965.96"
People's Republic of China,"3,905.32"
Chile,"3,895.44"
Lithuania,"3,821.15"
Croatia,"3,714.38"
Belarus,"3,690.10"
Republic of Cyprus,"3,548.87"
North Macedonia,"3,513.95"
Latvia,"3,507.40"
Suriname,"3,493.18"
Ukraine,"3,418.57"
Bosnia and Herzegovina,"3,360.90"
Uruguay,"3,093.17"
Argentina,"3,074.70"
Iran,"2,927.79"
Turkey,"2,848.97"
Venezuela,"2,705.60"
Georgia,"2,693.97"
Brazil,"2,611.00"
Turkmenistan,"2,585.66"
Romania,"2,584.41"
Lebanon,"2,583.38"
Thailand,"2,483.56"
Albania,"2,309.37"
Azerbaijan,"2,202.39"
Mexico,"2,186.38"
Mauritius,"2,182.04"
Panama,"2,070.82"
Mongolia,"2,032.16"
Armenia,"1,976.86"
Kyrgyzstan,"1,941.22"
Costa Rica,"1,922.88"
Jordan,"1,921.11"
Libya,"1,889.55"
Moldova,"1,725.09"
Paraguay,"1,682.07"
Botswana,"1,677.60"
Namibia,"1,674.99"
Uzbekistan,"1,645.44"
Dominican Republic,"1,597.14"
Egypt,"1,592.22"
Tajikistan,"1,486.25"
Cuba,"1,447.67"
Vietnam,"1,431.16"
Tunisia,"1,408.09"
Ecuador,"1,375.86"
Algeria,"1,368.62"
Peru,"1,334.19"
Colombia,"1,320.35"
Iraq,"1,243.85"
